id,efficacy,tox_prob,docking,pathway
GEN_017,78.07583607989814,0.02375341383039205,-9.045535845959769,0.9958362718450303
GEN_014,77.99350922378528,0.01947048227184643,-8.619750122138333,0.9351346192327096
GEN_117,77.52675013387515,0.022317406342356797,-9.36599299345023,0.829265002067182
GEN_125,77.17327994692145,0.03176700006262111,-8.426003576331697,0.8698483650512122
GEN_013,77.15104297160674,0.02915056122371271,-8.653309917354946,0.9034004813462213
GEN_040,77.06627449965434,0.02135541890372962,-9.160989845105894,0.7593020683929276
GEN_124,77.05823626742784,0.026286187667341733,-8.662713589838207,0.823286149540119
GEN_002,76.97880880539645,0.014667354949950836,-8.715250113634703,0.9499791280651383
GEN_113,76.95889495768725,0.03588963625503412,-9.4020878839896,0.9451241244825389
GEN_115,76.94801752688272,0.02885028674104072,-9.147882446092453,0.9656855671717473
